epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.601,2.8221,0.2083,1.27933,0,0,0,0,1.95771,0.04364,1.23193,5.93182e-05,5.93182e-05,0.0802866
2,82.4003,2.69934,0.11497,0.61274,0.0002,0.03125,1e-05,0,2.59502,0.15761,0.39886,0.000119311,0.000119311,0.0603466
3,124.257,2.65588,0.10461,0.7003,0.00011,0.01736,1e-05,0,2.37938,0.13911,0.78137,0.000179274,0.000179274,0.0404065
4,166.114,2.7385,0.09347,0.79528,2e-05,0.00347,0,0,3.06631,0.05457,0.90509,0.000239187,0.000239187,0.0204665
5,208.209,3.17775,0.03768,1.03505,4e-05,0.00694,5e-05,1e-05,3.11377,0.06484,1.05471,0.000299026,0.000299026,0.000526299
6,253.23,3.14599,0.06624,1.15896,0.00067,0.01736,8e-05,2e-05,2.66858,0.10448,0.93289,0.000299542,0.000299542,0.000299542
7,295.836,2.84062,0.04557,1.07628,7e-05,0.01042,0,0,2.44807,0.0517,0.87528,0.000299341,0.000299341,0.000299341
8,337.666,2.65682,0.02009,1.07859,0,0,0,0,2.60431,0.0433,1.22781,0.000299103,0.000299103,0.000299103
9,379.661,2.56379,0.02514,1.17665,0,0,0,0,2.35815,0.0355,1.11406,0.000298829,0.000298829,0.000298829
10,421.001,2.28705,0.05331,0.86403,0.01703,0.00347,0.00045,0.00017,2.06199,0.12439,0.59932,0.000298519,0.000298519,0.000298519
11,462.871,2.17272,0.18449,0.49301,0.02215,0.03819,0.00251,0.00044,2.29146,0.19247,0.50986,0.000298172,0.000298172,0.000298172
12,505.072,2.9978,0.11256,0.89488,0.00834,0.00694,0.00047,8e-05,3.20173,0.10689,1.03186,0.000297789,0.000297789,0.000297789
13,546.368,3.03109,0.0831,0.9177,0.04443,0.04514,0.01743,0.00518,2.37783,0.19042,0.63874,0.00029737,0.00029737,0.00029737
14,589.929,1.77548,0.35833,0.37204,0.04318,0.09722,0.01562,0.00436,1.33925,0.49321,0.17617,0.000296915,0.000296915,0.000296915
15,631.403,1.32094,0.53373,0.17021,0.04819,0.13542,0.02203,0.00587,1.26517,0.50405,0.1742,0.000296424,0.000296424,0.000296424
16,673.459,1.26846,0.55573,0.16045,0.05633,0.13889,0.02266,0.0041,1.26024,0.47413,0.16065,0.000295897,0.000295897,0.000295897
17,714.788,1.24069,0.55817,0.15665,0.08959,0.24653,0.0506,0.0136,1.11426,0.5808,0.13167,0.000295335,0.000295335,0.000295335
18,757.678,1.15984,0.60011,0.14127,0.08884,0.21528,0.04924,0.01543,1.0665,0.60967,0.1196,0.000294737,0.000294737,0.000294737
