epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3104,2.80478,0.30412,1.21428,0,0,0,0,2.9256,0.10595,0.75971,0.000162879,0.000162879,0.0675871
2,47.1848,3.01273,0.07326,0.82357,9e-05,0.01389,1e-05,0,2.72848,0.09344,0.58892,0.000329525,0.000329525,0.0344204
3,71.0713,2.65465,0.05226,1.06179,4e-05,0.00694,0,0,2.1556,0.08303,0.74343,0.000496091,0.000496091,0.00125367
4,95.1255,2.26157,0.08983,0.91775,9e-05,0.01389,0.00011,3e-05,2.04105,0.10157,0.65619,0.000499725,0.000499725,0.000499725
5,119.15,2.10593,0.08195,0.7198,0.00022,0.03472,0.00178,0.00054,1.92471,0.17056,0.53172,0.000499512,0.000499512,0.000499512
6,143.17,1.88959,0.1824,0.47394,0.00034,0.05208,0.00141,0.00024,1.78654,0.22618,0.4481,0.000499237,0.000499237,0.000499237
7,166.422,1.69044,0.23623,0.38935,0.00204,0.05903,0.00828,0.00142,1.63459,0.26105,0.34387,0.000498902,0.000498902,0.000498902
8,190.369,1.65153,0.25335,0.34851,0.02012,0.03125,0.00369,0.00074,1.60079,0.26429,0.33026,0.000498505,0.000498505,0.000498505
9,213.669,1.57882,0.28971,0.31275,0.04377,0.08681,0.01137,0.00224,1.44123,0.42006,0.23606,0.000498048,0.000498048,0.000498048
10,237.589,1.52341,0.31325,0.2576,0.05964,0.09375,0.01731,0.00415,1.41495,0.39185,0.22827,0.000497531,0.000497531,0.000497531
11,261.546,1.42995,0.35261,0.22389,0.05068,0.11458,0.0109,0.00238,1.42193,0.37155,0.22711,0.000496953,0.000496953,0.000496953
12,284.703,1.39895,0.38687,0.20587,0.11729,0.18403,0.04923,0.01088,1.25694,0.43866,0.17585,0.000496315,0.000496315,0.000496315
13,308.604,1.34359,0.44373,0.20488,0.08441,0.14236,0.03073,0.00845,1.25237,0.45735,0.16937,0.000495616,0.000495616,0.000495616
14,331.841,1.29377,0.43083,0.19321,0.09909,0.17708,0.04743,0.01108,1.19603,0.48206,0.15819,0.000494858,0.000494858,0.000494858
15,355.7,1.26651,0.45669,0.15849,0.12662,0.16319,0.05997,0.01524,1.20156,0.48415,0.16571,0.000494039,0.000494039,0.000494039
16,379.665,1.19831,0.50577,0.16006,0.14599,0.17361,0.05707,0.01257,1.19405,0.47598,0.15403,0.000493162,0.000493162,0.000493162
17,402.789,1.25285,0.48504,0.15731,0.15516,0.19097,0.06809,0.01809,1.16786,0.47542,0.15601,0.000492224,0.000492224,0.000492224
18,426.694,1.20286,0.50135,0.1569,0.16426,0.24653,0.09855,0.0262,1.07363,0.53799,0.12406,0.000491228,0.000491228,0.000491228
19,450.659,1.16478,0.5052,0.14524,0.21541,0.27551,0.12211,0.0371,1.06183,0.53282,0.12398,0.000490173,0.000490173,0.000490173
20,474.56,1.12843,0.51676,0.13769,0.16616,0.23958,0.07906,0.0208,1.11892,0.50919,0.13383,0.000489059,0.000489059,0.000489059
21,497.828,1.14537,0.52515,0.13902,0.16954,0.28125,0.10959,0.03029,1.06687,0.56908,0.12588,0.000487886,0.000487886,0.000487886
