epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8383,2.80792,0.2852,1.28013,0,0,0,0,2.50796,0.02501,1.25468,0.000164773,0.000164773,0.0672102
2,95.2128,2.70217,0.03076,1.31209,4e-05,0.00694,0,0,2.48935,0.07815,0.65229,0.000331419,0.000331419,0.0340435
3,143.241,2.71084,0.0898,0.98271,9e-05,0.01389,3e-05,1e-05,2.625,0.06963,0.90804,0.000497984,0.000497984,0.000876772
4,191.189,2.25222,0.17478,0.65022,0.00076,0.10417,0.00115,0.00019,1.79893,0.35147,0.32324,0.000499724,0.000499724,0.000499724
5,239.588,1.72418,0.45342,0.26607,0.00144,0.21875,0.0006,0.00012,1.50023,0.49223,0.15896,0.000499509,0.000499509,0.000499509
6,285.617,1.58799,0.47627,0.1651,0.00224,0.34375,0.00343,0.00053,1.36415,0.58957,0.14833,0.000499233,0.000499233,0.000499233
7,332.188,1.36454,0.62944,0.16769,0.00206,0.31944,0.00714,0.00145,1.28118,0.60259,0.14995,0.000498896,0.000498896,0.000498896
8,379.107,1.31251,0.64534,0.16926,0.00958,0.34722,0.01349,0.00353,1.22322,0.63642,0.13487,0.000498498,0.000498498,0.000498498
9,425.437,1.18694,0.68215,0.1376,0.02383,0.40278,0.04336,0.01041,1.06801,0.78213,0.12353,0.000498039,0.000498039,0.000498039
10,471.854,1.07108,0.74052,0.1277,0.04864,0.21181,0.02901,0.00822,1.05643,0.86816,0.11768,0.000497518,0.000497518,0.000497518
11,517.596,1.07206,0.71965,0.12549,0.09185,0.21181,0.05154,0.01465,1.01795,0.707,0.1078,0.000496937,0.000496937,0.000496937
12,563.91,1.01271,0.76456,0.10274,0.11478,0.24306,0.0764,0.02155,0.90837,0.78954,0.09617,0.000496296,0.000496296,0.000496296
13,610.56,0.95666,0.78133,0.09872,0.13066,0.23611,0.09777,0.03121,0.86306,0.79432,0.08969,0.000495594,0.000495594,0.000495594
14,657.301,0.85192,0.84369,0.08077,0.09374,0.32639,0.07107,0.02558,0.816,0.9427,0.08304,0.000494832,0.000494832,0.000494832
15,703.064,0.92256,0.80787,0.09095,0.09518,0.26389,0.06526,0.01711,0.9399,0.80355,0.09735,0.000494009,0.000494009,0.000494009
16,748.592,0.88916,0.82048,0.08908,0.10098,0.30903,0.07024,0.02163,0.84857,0.82238,0.0858,0.000493127,0.000493127,0.000493127
17,794.156,0.85119,0.82762,0.08876,0.1051,0.36806,0.08746,0.02902,0.78948,0.91924,0.07546,0.000492185,0.000492185,0.000492185
18,839.838,0.89622,0.79466,0.10013,0.11763,0.30828,0.08827,0.02982,0.76638,0.88372,0.0717,0.000491184,0.000491184,0.000491184
19,885.48,0.83703,0.83403,0.10167,0.09877,0.33333,0.07726,0.02658,0.77279,0.87183,0.07371,0.000490123,0.000490123,0.000490123
